rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
123,frame_0178.jpg,71.2,0.445,0.601,0.375,0.16,7,3,False,False
124,frame_0078.jpg,31.2,0.444,0.402,0.25,0.84,6,2,False,False
125,frame_0113.jpg,45.2,0.4421,0.4132,0.625,0.24,6,5,False,False
126,frame_0181.jpg,72.4,0.4421,0.5682,0.5,0.04,6,4,False,False
127,frame_0025.jpg,10.0,0.442,0.409,0.125,1.0,2,1,False,False
128,frame_0125.jpg,50.0,0.4394,0.4408,0.25,0.72,5,2,False,False
129,frame_0132.jpg,52.8,0.4383,0.3266,0.25,1.0,5,2,False,False
130,frame_0210.jpg,84.0,0.438,0.4541,0.25,0.68,3,2,False,False
131,frame_0175.jpg,70.0,0.437,0.462,0.5,0.28,7,4,False,False
132,frame_0314.jpg,125.6,0.4365,0.541,0.5,0.08,6,4,False,False
133,frame_0170.jpg,68.0,0.4355,0.4539,0.375,0.48,6,3,False,False
134,frame_0280.jpg,112.0,0.4349,0.5598,0.25,0.4,5,2,False,False
135,frame_0296.jpg,118.4,0.4326,0.3843,0.375,0.64,5,3,False,False
136,frame_0384.jpg,153.6,0.4324,0.5007,0.5,0.16,7,4,False,False
137,frame_0021.jpg,8.4,0.4315,0.3129,0.25,1.0,4,2,False,False
138,frame_0390.jpg,156.0,0.4305,0.4541,0.625,0.08,8,5,False,False
139,frame_0279.jpg,111.6,0.4282,0.4875,0.375,0.36,6,3,False,False
140,frame_0090.jpg,36.0,0.4281,0.5622,0.25,0.36,4,2,False,False
141,frame_0096.jpg,38.4,0.4277,0.5823,0.375,0.12,7,3,False,False
142,frame_0398.jpg,159.2,0.4269,0.4578,0.5,0.24,8,4,False,False
143,frame_0103.jpg,41.2,0.4254,0.4867,0.5,0.16,4,4,False,False
144,frame_0273.jpg,109.2,0.424,0.575,0.375,0.12,6,3,False,False
145,frame_0216.jpg,86.4,0.4215,0.442,0.375,0.44,4,3,False,False
146,frame_0202.jpg,80.8,0.4212,0.3773,0.375,0.6,5,3,False,False
147,frame_0230.jpg,92.0,0.4211,0.5691,0.375,0.12,10,3,False,False
148,frame_0207.jpg,82.8,0.4199,0.3697,0.25,0.8,3,2,False,False
149,frame_0020.jpg,8.0,0.4197,0.2893,0.25,1.0,4,2,False,False
150,frame_0214.jpg,85.6,0.4195,0.4811,0.25,0.52,3,2,False,False
151,frame_0112.jpg,44.8,0.4192,0.5334,0.375,0.2,5,3,False,False
152,frame_0218.jpg,87.2,0.4182,0.5423,0.25,0.36,3,2,False,False
153,frame_0233.jpg,93.2,0.4165,0.5121,0.375,0.24,6,3,False,False
154,frame_0115.jpg,46.0,0.4163,0.4797,0.375,0.32,5,3,False,False
155,frame_0120.jpg,48.0,0.4151,0.3972,0.375,0.52,5,3,False,False
156,frame_0186.jpg,74.4,0.4122,0.5084,0.5,0.04,9,4,False,False
157,frame_0319.jpg,127.6,0.4121,0.4122,0.5,0.28,8,4,False,False
158,frame_0173.jpg,69.2,0.4099,0.5258,0.25,0.36,7,2,False,False
159,frame_0215.jpg,86.0,0.4086,0.4003,0.375,0.48,3,3,False,False
160,frame_0200.jpg,80.0,0.4067,0.5304,0.125,0.52,2,1,False,False
161,frame_0024.jpg,9.6,0.4066,0.3382,0.125,1.0,4,1,False,False
